Sentence,Rough_POS,Detailed_POS,Lemmatized_Sentence
ang PM ng Israel ay gumawa ng kabaligtaran nito."",DT.* NN.* CC.* NN.* LM VB.* CC.* NN.* PR.* PM.* PM.*,DTC NNPA CCB NNP LM VBAF CCB NNC PRO PMP PMS,ang pm ng israel ay gawa ng kabaligtaran nito."",
"Kahit noon ay sinuportahan niya ang pag-alis sa ilang parte ng Israel,",CC.* RB.* LM VB.* PR.* DT.* CC.* PM.* NN.* CC.* PR.*_CC.* NN.* CC.* NN.* PM.*,CCT RBW LM VBTS PRS DTC CCR PMS NNC CCT PRQ_CCP NNC CCB NNP PMC,"kahit noon ay suporta niya ang alis sa ilang parte ng israel,",
sinabi ni Sharansky na ang kasalukuyang plano ay malayo na ang nararating.,VB.* DT.* NN.* CC.* DT.* RB.*_CC.* NN.* LM JJ.* RB.* DT.* VB.* PM.*,VBTS DTP NNP CCP DTC RBW_CCP NNC LM JJD RBI DTC VBTR PMP,sabi ni sharansky na ang kasalukuyang plano ay layo na ang nararating.,
"""Hindi natin makokontrol ang ibang tao at kailangan natin ang mga seryosong kompromiso,",PM.*  RB.* PR.* VB.* DT.* PR.*_CC.* NN.* CC.* VB.* PR.* DT.* DT.* JJ.*_CC.* NN.* PM.*,PMS  RBF PRP VBTF DTC PRI_CCP NNC CCA VBS PRP DTC DTCP JJD_CCP NNC PMC,"""hindi natin kontrol ang iba tao at kailangan natin ang mga seryoso kompromiso,",
pero ang kompromiso na iyon ay hindi dapat kasama ang ang pagbibigay ng kakayahang puksain,CC.* DT.* NN.* CC.* PR.* LM RB.* VB.* CC.* DT.* DT.* NN.* CC.* NN.*_CC.* VB.*,CCT DTC NNC CCP PRO LM RBF VBS CCB DTC DTC NNC CCB NNC_CCP VBOF,pero ang kompromiso na iyon ay hindi dapat kasama ang ang bigay ng kakayahang puksa,
"na katulad ng pagtakbo natin sa Gaza,",CC.* JJ.* CC.* NN.* PR.* CC.* NN.* PM.*,CCP JJC CCB NNC PRP CCT NNP PMC,"na tulad ng takbo natin sa gaza,",
ang Gaza ay hindi naman tatakbo para sa atin."",DT.* NN.* LM RB.* RB.* VB.* CC.* CC.* PR.* PM.* PM.*,DTC NNP LM RBF RBI VBTF CCT CCT PRSP PMP PMS,ang gaza ay hindi naman takbo para sa atin."",
"""Nagkaroon ako ng maraming oportunidad para ipakita ang ibig kong sabihin sa Punong Ministro,",PM.*  VB.* PR.* CC.* PR.*_CC.* NN.* CC.* VB.* DT.* VB.* PR.*_CC.* VB.* CC.* NN.*_CC.* NN.* PM.*,PMS  VBTS PRS CCB PRI_CCP NNC CCT VBOF DTC VBS PRS_CCP VBOF CCT NNP_CCP NNP PMC,"""nagkaroon ako ng dami oportunidad para kita ang ibig kong sabi sa puno ministro,",
"sa publiko man ito o pribado,""",CC.* NN.* RB.* PR.* CC.* JJ.* PM.* PM.*,CCT NNC RBI PRO CCT JJD PMC PMS,"sa publiko man ito o pribado,""",
sabi ni Sharansky.,VB.* DT.* NN.* PM.*,VBS DTP NNP PMP,sabi ni sharansky.,
"""Sinabi ko sa kanya na hindi tayo magkakaroon ng sampung taon - o kahit sampung araw na walang kahirapan,",PM.*  VB.* PR.* CC.* PR.* CC.* RB.* PR.* VB.* CC.* JJ.*_CC.* NN.* PM.* CC.* CC.* JJ.*_CC.* NN.* CC.* VB.*_CC.* NN.* PM.*,PMS  VBOF PRS CCT PRSP CCP RBF PRP VBTF CCB JJN_CCP NNC PMS CCT CCT JJN_CCP NNC CCP VBN_CCP NNC PMC,"""sinabi ko sa kanya na hindi tayo roon ng sampu taon - o kahit sampu araw na wala kahirapan,",
dahil ginagawa nating lehitimo ang isang bahagi ng paghiwalay mula sa lugar ng mga Hudyo - at ang bawat paghiwalay ay nagdudulot ng maraming kahirapan."",CC.* VB.* PR.*_CC.* JJ.* DT.* PR.*_CC.* NN.* CC.* NN.* RB.* CC.* NN.* CC.* DT.* NN.* PM.* CC.* DT.* PR.* NN.* LM VB.* CC.* PR.*_CC.* NN.* PM.* PM.*,CCR VBTR PRP_CCP JJD DTC PRI_CCP NNC CCB NNC RBL CCT NNC CCB DTCP NNP PMS CCA DTC PRI NNC LM VBTR CCB PRI_CCP NNC PMP PMS,dahil gawa ting lehitimo ang isa bahagi ng hiwalay mula sa lugar ng mga hudyo - at ang bawat hiwalay ay dulot ng dami kahirapan."",
"""Ang binabanggit ko ay tungkol sa tatlong henerasyon na ang mga Hudyo ay ipinadala sa isang importanteng misyon ng gobyerno ng Israel at nagawa nilang ang isang walang lamang disyerto ay maging isang magandang hardin.""",PM.*  DT.* VB.* PR.* LM RB.* CC.* JJ.*_CC.* NN.* CC.* DT.* DT.* NN.* LM VB.* CC.* PR.*_CC.* JJ.*_CC.* NN.* CC.* NN.* CC.* NN.* CC.* VB.* PR.*_CC.* DT.* PR.*_CC.* VB.*_CC.* NN.*_CC.* JJ.* LM VB.* PR.*_CC.* JJ.*_CC.* NN.* PM.* PM.*,PMS  DTC VBTR PRS LM RBR CCT JJN_CCP NNC CCP DTC DTCP NNP LM VBTS CCT PRI_CCP JJD_CCP NNC CCB NNC CCB NNP CCA VBTS PRP_CCP DTC PRI_CCP VBN_CCP NNC_CCP JJD LM VBW PRI_CCP JJD_CCP NNC PMP PMS,ang banggit ko ay tungkol sa tatlong henerasyon na ang mga hudyo ay dala sa isa importante misyon ng gobyerno ng israel at awa nila ang isa wala lamang disyerto ay maging isa anda hardin.,
"""Ngayon ay pupuksain naman natin ang napakagandang komunidad,",PM.*  RB.* LM VB.* RB.* PR.* DT.* JJ.*_JJ.*_CC.* NN.* PM.*,PMS  RBW LM VBTF RBI PRP DTC JJCS_JJD_CCP NNC PMC,"""ngayon ay puksa naman natin ang napakagandang komunidad,",
na may kakaibang agrikultura at kahanga-hangang Hudaismo - para saan?"",CC.* VB.* JJ.*_CC.* NN.* CC.* NN.* PM.* RB.* NN.* PM.* CC.* PR.* PM.* PM.*,CCP VBH JJD_CCP NNC CCA NNC PMS RBW NNP PMS CCT PRQ PMQ PMS,na may iba agrikultura at hanga hudaismo - para saan?"",
tanong ni Sharansky.,NN.* DT.* NN.* PM.*,NNC DTP NNP PMP,tanong ni sharansky.,
"Marahas na hidwaan ang naganap sa pagitan ng Palestine at kapulisan ng Israel malapit sa Moske ng al-Aqsa at Bundok-Templo sa Herusalem,",JJ.* CC.* NN.* DT.* VB.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* JJ.* CC.* NN.* CC.* NN.* PM.* NN.* CC.* NN.* PM.* NN.* CC.* NN.* PM.*,JJD CCP NNC DTC VBTS CCT NNC CCB NNP CCA NNC CCB NNP JJD CCT NNP CCB NNC PMS NNP CCA NNP PMS NNP CCT NNP PMC,"dahas na hidwaan ang naganap sa pagitan ng palestine at pulis ng israel lapit sa moske ng al-aqsa at templo sa herusalem,",
"na nagmula sa kontrobersya ng konstruksyon ng Israelita malapit sa kinatatayuan,",CC.* VB.* CC.* NN.* CC.* NN.* CC.* NN.* JJ.* CC.* VB.* PM.*,CCP VBTS CCT NNC CCB NNC CCB NNP JJD CCT VBTR PMC,"na mula sa kontrobersya ng konstruksyon ng israelita lapit sa kinatatayuan,",
na itinuturing na banal sa mga Muslim at Hudyo.,CC.* VB.* CC.* JJ.* CC.* DT.* NN.* CC.* NN.* PM.*,CCP VBTR CCP JJD CCT DTCP NNP CCA NNP PMP,na turing na banal sa mga muslim at hudyo.,
"Ang paggawa sa konstruksyon ay napabalitang para sa pagkukumpuni ng tulay para sa mga taong naglalakad na hahantong sa Mugrabi Gate,",DT.* NN.* CC.* NN.* LM RB.*_CC.* CC.* CC.* NN.* CC.* NN.* CC.* CC.* DT.* NN.*_CC.* VB.* CC.* VB.* CC.* NN.* NN.* PM.*,DTC NNC CCT NNC LM RBD_CCP CCT CCT NNC CCB NNC CCT CCT DTCP NNC_CCP VBTR CCP VBTF CCT NNP NNP PMC,"ang gawa sa konstruksyon ay balita para sa kumpuni ng tulay para sa mga tao lakad na hantong sa mugrabi gate,",
"ang daang pasukan patungo sa moske na ginagamit ng mga Palestino,",DT.* NN.*_CC.* NN.* RB.* CC.* NN.* CC.* VB.* CC.* DT.* NN.* PM.*,DTC NNC_CCP NNC RBL CCT NNC CCP VBTR CCB DTCP NNP PMC,"ang daang pasukan tungo sa moske na gamit ng mga palestino,",
na pumapalibot sa buong Kanlurang Muog ng mga Hudyo sa kalakhan ng kompleks.,CC.* VB.*_VB.* CC.* PR.*_CC.* NN.*_CC.* NN.* CC.* DT.* NN.* CC.* NN.* CC.* JJ.* PM.*,CCP VBTR_VBAF CCT PRI_CCP NNP_CCP NNP CCB DTCP NNP CCT NNC CCB JJD PMP,na libot sa buo kanlurang muog ng mga hudyo sa kalakhan ng kompleks.,
Ang lupang dahilig na tulay na humahantong sa bakuran sa itaas ng burol na tinaguriang Bundok-Templo sa mga Hudyo at bilang Marangal na Santuwaryo sa mga Muslim.,DT.* NN.*_CC.* JJ.* CC.* NN.* CC.* VB.*_VB.* CC.* NN.* CC.* JJ.* CC.* NN.* CC.* VB.*_CC.* NN.* PM.* NN.* CC.* DT.* NN.* CC.* CC.* NN.* CC.* NN.* CC.* DT.* NN.* PM.*,DTC NNC_CCP JJD CCP NNC CCP VBTR_VBAF CCT NNC CCT JJD CCB NNC CCP VBTS_CCP NNP PMS NNP CCT DTCP NNP CCA CCT NNP CCP NNP CCT DTCP NNP PMP,ang lupa dahilig na tulay na hantong sa bakuran sa taas ng burol na tinaguriang templo sa mga hudyo at bilang dangal na santuwaryo sa mga muslim.,
Ang tulay ay natibag noong taong 2004 at pansamantalang pinalitan ng kahoy na tulay na sinasabi ng mga Israelita na marupok at hindi ligtas.,DT.* NN.* LM VB.* RB.*_CC.* NN.*_CC.* CD.* CC.* JJ.*_CC.* VB.* CC.* NN.* CC.* NN.* CC.* VB.* CC.* DT.* NN.* CC.* JJ.* CC.* RB.* JJ.* PM.*,DTC NNC LM VBTS RBW_CCP NNC_CCP CDB CCA JJD_CCP VBOF CCB NNC CCP NNC CCP VBTR CCB DTCP NNP CCP JJD CCA RBF JJD PMP,ang tulay ay tibag noo tao 2004 at pansamantalang palit ng kahoy na tulay na sabi ng mga israelita na marupok at hindi ligtas.,
Ang Israel ang namahala sa kaguluhan sa looban mula noong Digmaang Gitnang-Silangan ng taong 1967.,DT.* NN.* DT.* VB.* CC.* NN.* CC.* NN.* RB.* RB.*_CC.* NN.*_CC.* NN.*_CC.* PM.* NN.* CC.* NN.*_CC.* CD.* PM.*,DTC NNP DTC VBTS CCT NNC CCT NNC RBW RBW_CCP NNP_CCP NNP_CCP PMS NNP CCB NNC_CCP CDB PMP,ang israel ang hala sa kaguluhan sa loob mula noo digmaang sila ng tao 1967.,
"Ang konstruksyon ay kinapapalooban ng paghuhukay at pagdudukal sa pook,",DT.* NN.* LM VB.* CC.* VB.* CC.* VB.* CC.* NN.* PM.*,DTC NNC LM VBTR CCB VBW CCA VBW CCT NNC PMC,"ang konstruksyon ay kinapapalooban ng hukay at pagdudukal sa pook,",
"na iginigiit ng mga lider na Palestino na parte ng tangka na makapaghukay sa ilalim ng moske upang makahanap ng ebidensya para sa Pangalawang Templo pang Hudyo,",CC.* VB.* CC.* DT.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* VB.* CC.* JJ.* CC.* NN.* CC.* VB.* CC.* NN.* CC.* CC.* NN.*_CC.* NN.* RB.*_CC.* NN.* PM.*,CCP VBTR CCB DTCP NNC CCP NNP CCP NNC CCB NNC CCP VBW CCT JJD CCB NNC CCB VBW CCB NNC CCT CCT NNP_CCP NNP RBI_CCP NNP PMC,"na giit ng mga lider na palestino na parte ng tangka na hukay sa ilalim ng moske upang hanap ng ebidensya para sa dalawa templo pang hudyo,",
at/o sadyaing pahinain ang pundasyon ng moske.,CC.* PM.* CC.* JJ.*_CC.* VB.* DT.* NN.* CC.* NN.* PM.*,CCA PMS CCT JJD_CCP VBOF DTC NNC CCB NNC PMP,at/o sadyaing pahina ang pundasyon ng moske.,
Tinututulan ng mga Muslim na ang nasabing templo ay nakaposisyon sa pook.,VB.* CC.* DT.* NN.* CC.* DT.* VB.*_CC.* NN.* LM RB.* CC.* NN.* PM.*,VBTR CCB DTCP NNP CCP DTC VBTS_CCP NNC LM RBD CCT NNC PMP,tinututulan ng mga muslim na ang sabi templo ay posisyon sa pook.,
Ang puwersa ng mga Israelita ang nagsara sa kahangga ng mga Palestino mula sa Herusalem sa mga inaasahang batikos buhat sa konstruksyon.,DT.* NN.* CC.* DT.* NN.* DT.* VB.* CC.* JJ.* CC.* DT.* NN.* RB.* CC.* NN.* CC.* DT.* VB.*_CC.* NN.* RB.* CC.* NN.* PM.*,DTC NNC CCB DTCP NNP DTC VBTS CCT JJD CCB DTCP NNP RBL CCT NNP CCT DTCP VBTR_CCP NNC RBW CCT NNC PMP,ang puwersa ng mga israelita ang sara sa kahangga ng mga palestino mula sa herusalem sa mga inaasahang batikos buhat sa konstruksyon.,
"Ang mga hangganan ng lumang lungsod ng Herusalem ay hinarangan,",DT.* DT.* NN.* CC.* JJ.*_CC.* NN.* CC.* NN.* LM VB.* PM.*,DTC DTCP NNC CCB JJD_CCP NNC CCB NNP LM VBTS PMC,"ang mga hangganan ng luma lungsod ng herusalem ay hinarangan,",
tanging pinahintulutan umano makapasok ay mga Palestinong may 45 edad pataas at nakayapak o naglalakad lamang.,JJ.*_CC.* NN.* CC.* VB.* LM DT.* NN.*_CC.* VB.* CD.* NN.* NN.* CC.* VB.* CC.* VB.* RB.* PM.*,JJD_CCP NNC CCT VBW LM DTCP NNP_CCP VBH CDB NNC NNC CCA VBTS CCT VBTR RBI PMP,tangi pinahintulutan ano pasok ay mga palestinong may 45 edad taas at yapak o lakad lamang.,
Nagpahayag ang mga kumakalaban na ang mga harang at konstruksyon ay ginagawa upang aktong sadyain na hadlangan ang mga Muslim sa pagpunta sa sagradong lugar.,VB.* DT.* DT.* VB.*_VB.* CC.* DT.* DT.* NN.* CC.* NN.* LM VB.* CC.* NN.*_CC.* VB.* CC.* VB.* DT.* DT.* NN.* CC.* NN.* CC.* JJ.*_CC.* NN.* PM.*,VBTS DTC DTCP VBTR_VBAF CCP DTC DTCP NNC CCA NNC LM VBTR CCB NNC_CCP VBOF CCP VBOF DTC DTCP NNP CCT NNC CCT JJD_CCP NNC PMP,hayag ang mga laban na ang mga harang at konstruksyon ay gawa upang akto sadya na hadlang ang mga muslim sa punta sa sagrado lugar.,
Ang masa ng mga sumasalungat sa pook ay gumanti sa pagharang sa daanan ng mga Hudyo papunta sa Kanlurang Muog.,DT.* NN.* CC.* DT.* VB.*_VB.* CC.* NN.* LM VB.* CC.* NN.* CC.* NN.* CC.* DT.* NN.* VB.* CC.* NN.*_CC.* NN.* PM.*,DTC NNC CCB DTCP VBTR_VBAF CCT NNC LM VBAF CCT NNC CCT NNC CCB DTCP NNP VBW CCT NNP_CCP NNP PMP,ang masa ng mga salungat sa pook ay ganti sa hara sa daanan ng mga hudyo punta sa kanlurang muog.,
Ang presidente ng Palestino na si Mahmoud Abbas ay nagpahayag na ang konstruksyon at harang ay pawang ""salungat na hakbangin"" laban sa mga Muslim.,DT.* NN.* CC.* NN.* CC.* DT.* NN.* NN.* LM VB.* CC.* DT.* NN.* CC.* NN.* LM PR.*_CC.* PM.* JJ.* CC.* NN.* PM.* NN.* CC.* DT.* NN.* PM.*,DTC NNC CCB NNP CCP DTP NNP NNP LM VBTS CCP DTC NNC CCA NNC LM PRI_CCP PMS JJD CCP NNC PMS NNC CCT DTCP NNP PMP,ang presidente ng palestino na si mahmoud abbas ay hayag na ang konstruksyon at harang ay pawang ""salungat na hakbangin"" laban sa mga muslim.,
Ang Palestinong punong-hukom na si Tayssir al-Tamimi ay nagpahayag ng ""araw ng poot"" at tumawag pansin sa mga Palestino na ipagtanggol ang moske.,DT.* NN.*_CC.* JJ.*_CC.* PM.* NN.* CC.* DT.* NN.* NN.* PM.* NN.* LM VB.* CC.* PM.* NN.* CC.* NN.* PM.* CC.* VB.* NN.* CC.* DT.* NN.* CC.* VB.* DT.* NN.* PM.*,DTC NNP_CCP JJD_CCP PMS NNC CCP DTP NNP NNCA PMS NNP LM VBTS CCB PMS NNC CCB NNC PMS CCA VBAF NNC CCT DTCP NNP CCP VBOB DTC NNC PMP,ang palestinong hukom na si tayssir al-tamimi ay hayag ng ""araw ng poot"" at tawag pansin sa mga palestino na tanggol ang moske.,
"Ang mga bansang Arabo at Muslim na kinabibilangan ng Jordan,",DT.* DT.* NN.*_CC.* NN.* CC.* NN.* CC.* VB.* CC.* NN.* PM.*,DTC DTCP NNC_CCP NNP CCA NNP CCP VBTR CCB NNP PMC,"ang mga bansa arabo at muslim na kinabibilangan ng jordan,",
Malaysia at Indonesia ay bumatikos sa Israel sa kontrobersyal na proyekto at hinihikayat umano na ipatigil ang konstruksyon.,NN.* CC.* NN.* LM VB.* CC.* NN.* CC.* JJ.* CC.* NN.* CC.* VB.* CC.* CC.* VB.* DT.* NN.* PM.*,NNP CCA NNP LM VBAF CCT NNP CCT JJD CCP NNC CCA VBTR CCT CCP VBOF DTC NNC PMP,malaysia at indonesia ay batikos sa israel sa kontrobersyal na proyekto at hikayat ano na tigil ang konstruksyon.,
Ang ministro ng hukbong tanggulan ng Israel na si Amir Peretz ay nagbigay babala din kontra sa pagsisimula ng konstruksyon.,DT.* NN.* CC.* NN.*_CC.* NN.* CC.* NN.* CC.* DT.* NN.* NN.* LM VB.* NN.* RB.* NN.* CC.* NN.* CC.* NN.* PM.*,DTC NNC CCB NNC_CCP NNC CCB NNP CCP DTP NNP NNP LM VBTS NNC RBI NNC CCT NNC CCB NNC PMP,ang ministro ng hukbo tanggulan ng israel na si amir peretz ay bigay babala din kontra sa simula ng konstruksyon.,
Ang pinuno ng liga ng mga Muslim sa Pakistan ay nanghikayat sa mga bansang Muslim na ihinto ang ugnayang pangdiplomasya sa Israel dahil sa pagtutol nito sa paggawa.,DT.* NN.* CC.* NN.* CC.* DT.* NN.* CC.* NN.* LM VB.* CC.* DT.* NN.*_CC.* NN.* CC.* VB.* DT.* NN.*_CC.* JJ.* CC.* NN.* CC.* CC.* NN.* PR.* CC.* NN.* PM.*,DTC NNC CCB NNC CCB DTCP NNP CCT NNP LM VBTR CCT DTCP NNC_CCP NNP CCP VBOF DTC NNC_CCP JJD CCT NNP CCR CCT NNC PRO CCT NNC PMP,ang puno ng liga ng mga muslim sa pakistan ay nanghikayat sa mga bansa muslim na hinto ang ugnayang pangdiplomasya sa israel dahil sa tutol nito sa paggawa.,
Humigit kumulang 150 na mga Muslim ang nasa loob ng moske para sa kanilang pang-umagang panalangin nang simulan ang konstruksyon at paghaharang.,VB.* VB.* CD.* CC.* DT.* NN.* DT.* RB.* NN.* CC.* NN.* CC.* CC.* PR.*_CC.* RB.*_CC.* PM.* RB.*_CC.* NN.* RB.* VB.* DT.* NN.* CC.* NN.* PM.*,VBAF VBAF CDB CCP DTCP NNP DTC RBL NNC CCB NNC CCT CCT PRSP_CCP RBI_CCP PMS RBW_CCP NNC RBW VBOF DTC NNC CCA NNC PMP,higit kulang 150 na mga muslim ang nasa loob ng moske para sa kanila umaga tala nang simulan ang konstruksyon at paghaharang.,
Isang Israelitang-Muslim na mamamahayag ang nagbalita na ang mga sumasamba ay hindi makaalis at nakatanggap ng mga malinaw na mensahe mula sa mga malalakas na ispiker ng mga Israelita.,PR.*_CC.* NN.*_CC.* PM.* NN.* CC.* NN.* DT.* VB.* CC.* DT.* DT.* VB.*_VB.* LM RB.* VB.* CC.* VB.* CC.* DT.* JJ.* CC.* NN.* RB.* CC.* DT.* JJ.* CC.* NN.* CC.* DT.* NN.* PM.*,PRI_CCP NNP_CCP PMS NNP CCP NNC DTC VBTS CCP DTC DTCP VBTR_VBAF LM RBF VBW CCA VBTS CCB DTCP JJD CCP NNC RBL CCT DTCP JJD CCP NNC CCB DTCP NNP PMP,isa muslim na hayag ang balita na ang mga samba ay hindi alis at tanggap ng mga linaw na mensahe mula sa mga lakas na ispiker ng mga israelita.,
"Ang kaugaliang Judaismo ay naniniwalang ang makasaysayang lugar na ito din ang lokasyon ng Pangunahin at Pangalawang mga templo,",DT.* NN.*_CC.* NN.* LM VB.*_CC.* DT.* JJ.*_CC.* NN.* CC.* PR.* RB.* DT.* NN.* CC.* JJ.* CC.* NN.*_CC.* DT.* NN.* PM.*,DTC NNC_CCP NNP LM VBTS_CCP DTC JJD_CCP NNC CCP PRO RBI DTC NNC CCB JJD CCA NNP_CCP DTCP NNC PMC,"ang kaugaliang judaismo ay naniniwalang ang sayang lugar na ito din ang lokasyon ng pangunahin at dalawa mga templo,",
"ang pinakabanal na templo sa Judaismo,",DT.* JJ.*_JJ.* CC.* NN.* CC.* NN.* PM.*,DTC JJCS_JJD CCP NNC CCT NNP PMC,"ang banal na templo sa judaismo,",
na hinulaan na muling maitatayo bago pa man muling dumating ang Mesiyas.,CC.* VB.* CC.* RB.*_CC.* VB.* RB.* RB.* RB.* RB.*_CC.* VB.* DT.* NN.* PM.*,CCP VBOF CCP RBW_CCP VBW RBW RBI RBI RBW_CCP VBAF DTC NNP PMP,na hula na muli tayo bago pa man muli dati ang mesiyas.,
"Walang naitalang pagkamatay sanhi ng salungatan,",VB.*_CC.* VB.*_CC.* VB.* NN.* CC.* NN.* PM.*,VBN_CCP VBTS_CCP VBW NNC CCB NNC PMC,"wala tala pagkamatay sanhi ng salungatan,",
na pinainit nang sumapit ang gabi.,CC.* VB.* RB.* VB.* DT.* NN.* PM.*,CCP VBOF RBW VBAF DTC NNC PMP,na init nang sapit ang gabi.,
"May mga naganap na demonstrasyon sa mga moske sa lahat ng panig na saklaw ng Muslim,",VB.* DT.* VB.* CC.* NN.* CC.* DT.* NN.* CC.* PR.* CC.* NN.* CC.* NN.* CC.* NN.* PM.*,VBH DTCP VBTS CCP NNC CCT DTCP NNC CCT PRI CCB NNC CCP NNC CCB NNP PMC,"may mga naganap na demonstrasyon sa mga moske sa lahat ng panig na saklaw ng muslim,",
kabilang na ang Ehipto at Jordan.,CC.* RB.* DT.* NN.* CC.* NN.* PM.*,CCB RBI DTC NNP CCA NNP PMP,kabila na ang ehipto at jordan.,
"Ang insidente ay naganap matapos lamang ang ilang araw nang ang magkatunggali sa pulitikang pagkakapangkat-pangkat sa Palestino,",DT.* NN.* LM VB.* RB.* RB.* DT.* PR.*_CC.* NN.* RB.* DT.* VB.* CC.* NN.*_CC.* NN.* PM.* NN.* CC.* NN.* PM.*,DTC NNC LM VBTS RBW RBI DTC PRQ_CCP NNC RBW DTC VBW CCT NNC_CCP NNC PMS NNC CCT NNP PMC,"ang insidente ay naganap tapos lamang ang ilang araw nang ang tunggali sa pulitika pagkakapangkat-pangkat sa palestino,",
"na sina Hamas at Fatah,",CC.* DT.* NN.* CC.* NN.* PM.*,CCP DTPP NNP CCA NNP PMC,"na sina hamas at fatah,",
ay humantong sa pagkakasundo para sa pagkakaisa ng gobyerno na naglalayong manumbalik ang pangdaigdigang suporta ng Palestino at ang panunumbalik nito sa mga negosasyong pang Israelita.,LM VB.* CC.* NN.* CC.* CC.* NN.* CC.* NN.* CC.* VB.*_CC.* VB.* DT.* JJ.*_CC.* NN.* CC.* NN.* CC.* DT.* NN.* PR.* CC.* DT.* NN.*_CC.* RB.*_CC.* NN.* PM.*,LM VBAF CCT NNC CCT CCT NNC CCB NNC CCP VBTR_CCP VBW DTC JJD_CCP NNC CCB NNP CCA DTC NNC PRO CCT DTCP NNC_CCP RBI_CCP NNP PMP,ay hantong sa sundo para sa isa ng gobyerno na layo manumbalik ang pangdaigdigang suporta ng palestino at ang panunumbalik nito sa mga negosasyong pang israelita.,
"Si Barbaro,",DT.* NN.* PM.*,DTP NNP PMC,"si barbaro,",
"na nanalo sa Kentucky Derby noong 2006,",CC.* VB.* CC.* NN.* NN.* RB.*_CC.* CD.* PM.*,CCP VBTS CCT NNP NNP RBW_CCP CDB PMC,"na nanalo sa kentucky derby noo 2006,",
"ay pinatay sa pamamagitan ng eutanasya noong umaga ng ika-29 ng Enero,",LM VB.* CC.* NN.* CC.* NN.* RB.*_CC.* RB.* CC.* JJ.* PM.* CD.* CC.* NN.* PM.*,LM VBTS CCT NNC CCB NNC RBW_CCP RBW CCB JJN PMS CDB CCB NNP PMC,"ay patay sa pamamagitan ng eutanasya noo umaga ng ika-29 ng enero,",
ayon sa isa sa may-ari na si Roy Jackson.,RB.* CC.* PR.* CC.* VB.* PM.* NN.* CC.* DT.* NN.* NN.* PM.*,RBR CCT PRI CCT VBH PMS NNC CCP DTP NNP NNP PMP,ayon sa isa sa ari na si roy jackson.,
Nagtamo si Barbaro ng malubhang sugat sa panglikod na kanang binti kaunting sandali lamang matapos ang panimula ng 2006 Preakness Stakes.,VB.* DT.* NN.* CC.* JJ.*_CC.* NN.* CC.* JJ.* CC.* JJ.*_CC.* NN.* PR.*_CC.* NN.* RB.* VB.* DT.* NN.* CC.* CD.* NN.* NN.* PM.*,VBTS DTP NNP CCB JJD_CCP NNC CCT JJD CCP JJD_CCP NNC PRI_CCP NNC RBI VBW DTC NNC CCB CDB NNP NNP PMP,tamo si barbaro ng lubha sugat sa panglikod na kana binti kaunti sandali lamang tapos ang simula ng 2006 preakness stakes.,
"Ayon kay Jackson,",RB.* DT.* NN.* PM.*,RBR DTP NNP PMC,"ayon kay jackson,",
"""Kami ay humantong sa punto na kung saan ito ay magiging mahirap para sa kanya na magpatuloy ng walang pasakit.""",PM.*  PR.* LM VB.* CC.* NN.* CC.* RB.* RB.* PR.* LM VB.* JJ.* CC.* CC.* PR.* CC.* VB.* CC.* VB.*_CC.* NN.* PM.* PM.*,PMS  PRP LM VBAF CCT NNC CCP RBK RBQ PRO LM VBTF JJD CCT CCT PRSP CCP VBW CCB VBN_CCP NNC PMP PMS,kami ay hantong sa punto na kung saan ito ay igi hirap para sa kanya na tuloy ng wala pasakit.,
"""Iyon ang tamang desisyon,",PM.*  PR.* DT.* JJ.*_CC.* NN.* PM.*,PMS  PRO DTC JJD_CCP NNC PMC,"""iyon ang tama desisyon,",
iyon ang mainam na gawin."",PR.* DT.* JJ.* CC.* VB.* PM.* PM.*,PRO DTC JJD CCP VBOF PMP PMS,iyon ang inam na gawin."",
"""Nasabi namin na kung mayroong sitwasyon na kung saan ito ay magiging mas mahirap para sa kanya,",PM.*  VB.* PR.* CC.* CC.* VB.*_CC.* NN.* CC.* RB.* RB.* PR.* LM VB.* JJ.* JJ.* CC.* CC.* PR.* PM.*,PMS  VBTS PRP CCP CCR VBH_CCP NNC CCP RBK RBQ PRO LM VBTF JJCC JJD CCT CCT PRSP PMC,"""nasabi namin na kung mayroong sitwasyon na kung saan ito ay igi mas hirap para sa kanya,",
samakatuwid dumating na ang oras."",CC.* VB.* CC.* DT.* NN.* PM.* PM.*,CCT VBAF CCP DTC NNC PMP PMS,samakatuwid dati na ang oras."",
Ang kanang panglikod na binti ni Barbaro ay nadurog sa kahabaan ng panimula ng karera ng Preakness.,DT.* JJ.*_CC.* JJ.* CC.* NN.* DT.* NN.* LM VB.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* PM.*,DTC JJD_CCP JJD CCP NNC DTP NNP LM VBTS CCT NNC CCB NNC CCB NNC CCB NNP PMP,ang kana panglikod na binti ni barbaro ay durog sa haba ng simula ng karera ng preakness.,
"Tatlong buto sa binti nito ang nabali-ang buto ng cannon,",JJ.*_CC.* NN.* CC.* NN.* PR.* DT.* VB.* PM.* DT.* NN.* CC.* FW PM.*,JJN_CCP NNC CCT NNC PRO DTC VBTS PMS DTC NNC CCB FW PMC,"tatlong buto sa binti nito ang ang buto ng cannon,",
